"Plot Title:  21182136"
"#","Date Time, GMT+03:00","Abs Pres, kPa (LGR S/N: 21182136, SEN S/N: 21182136, LBL: Кизил-кобинка уровень)","Temp, °C (LGR S/N: 21182136, SEN S/N: 21182136, LBL: Кизил-кобинка температура)","Coupler Detached (LGR S/N: 21182136)","Coupler Attached (LGR S/N: 21182136)","Host Connected (LGR S/N: 21182136)","End Of File (LGR S/N: 21182136)"
1,06.10.22 03:40:00 PM,97.032,14.900,Logged,,,
2,06.10.22 03:50:00 PM,96.992,13.461,,,,
3,06.10.22 04:00:00 PM,97.018,13.269,,,,
4,06.10.22 04:10:00 PM,97.007,13.269,,,,
5,06.10.22 04:20:00 PM,96.998,13.173,,,,
6,06.10.22 04:30:00 PM,96.998,13.173,,,,
7,06.10.22 04:40:00 PM,96.990,13.076,,,,
8,06.10.22 04:50:00 PM,96.979,13.076,,,,
9,06.10.22 05:00:00 PM,96.979,13.076,,,,
10,06.10.22 05:10:00 PM,96.957,13.076,,,,
11,06.10.22 05:20:00 PM,97.001,13.076,,,,
12,06.10.22 05:30:00 PM,96.981,12.980,,,,
13,06.10.22 05:40:00 PM,96.970,12.980,,,,
14,06.10.22 05:50:00 PM,96.970,12.980,,,,
15,06.10.22 06:00:00 PM,96.992,12.980,,,,
16,06.10.22 06:10:00 PM,97.003,12.980,,,,
17,06.10.22 06:20:00 PM,96.983,12.883,,,,
18,06.10.22 06:30:00 PM,96.994,12.883,,,,
19,06.10.22 06:40:00 PM,96.994,12.883,,,,
20,06.10.22 06:50:00 PM,97.007,12.787,,,,
21,06.10.22 07:00:00 PM,97.018,12.787,,,,
22,06.10.22 07:10:00 PM,97.050,12.787,,,,
23,06.10.22 07:20:00 PM,97.063,12.690,,,,
24,06.10.22 07:30:00 PM,97.085,12.690,,,,
25,06.10.22 07:40:00 PM,97.074,12.690,,,,
26,06.10.22 07:50:00 PM,97.098,12.594,,,,
27,06.10.22 08:00:00 PM,97.098,12.594,,,,
28,06.10.22 08:10:00 PM,97.068,12.497,,,,
29,06.10.22 08:20:00 PM,97.089,12.497,,,,
30,06.10.22 08:30:00 PM,97.089,12.497,,,,
31,06.10.22 08:40:00 PM,97.100,12.497,,,,
32,06.10.22 08:50:00 PM,97.091,12.401,,,,
33,06.10.22 09:00:00 PM,97.124,12.401,,,,
34,06.10.22 09:10:00 PM,97.113,12.401,,,,
35,06.10.22 09:20:00 PM,97.113,12.401,,,,
36,06.10.22 09:30:00 PM,97.124,12.401,,,,
37,06.10.22 09:40:00 PM,97.126,12.304,,,,
38,06.10.22 09:50:00 PM,97.115,12.304,,,,
39,06.10.22 10:00:00 PM,97.104,12.304,,,,
40,06.10.22 10:10:00 PM,97.115,12.304,,,,
41,06.10.22 10:20:00 PM,97.084,12.207,,,,
42,06.10.22 10:30:00 PM,97.084,12.207,,,,
43,06.10.22 10:40:00 PM,97.084,12.207,,,,
44,06.10.22 10:50:00 PM,97.086,12.110,,,,
45,06.10.22 11:00:00 PM,97.097,12.110,,,,
46,06.10.22 11:10:00 PM,97.076,12.110,,,,
47,06.10.22 11:20:00 PM,97.076,12.110,,,,
48,06.10.22 11:30:00 PM,97.078,12.013,,,,
49,06.10.22 11:40:00 PM,97.088,12.013,,,,
50,06.10.22 11:50:00 PM,97.078,12.013,,,,
51,06.11.22 12:00:00 AM,97.079,11.916,,,,
52,06.11.22 12:10:00 AM,97.090,11.916,,,,
53,06.11.22 12:20:00 AM,97.079,11.916,,,,
54,06.11.22 12:30:00 AM,97.101,11.916,,,,
55,06.11.22 12:40:00 AM,97.092,11.819,,,,
56,06.11.22 12:50:00 AM,97.092,11.819,,,,
57,06.11.22 01:00:00 AM,97.081,11.819,,,,
58,06.11.22 01:10:00 AM,97.083,11.722,,,,
59,06.11.22 01:20:00 AM,97.072,11.722,,,,
60,06.11.22 01:30:00 AM,97.051,11.722,,,,
61,06.11.22 01:40:00 AM,97.062,11.722,,,,
62,06.11.22 01:50:00 AM,97.053,11.625,,,,
63,06.11.22 02:00:00 AM,97.053,11.625,,,,
64,06.11.22 02:10:00 AM,97.053,11.625,,,,
65,06.11.22 02:20:00 AM,97.063,11.625,,,,
66,06.11.22 02:30:00 AM,97.065,11.528,,,,
67,06.11.22 02:40:00 AM,97.055,11.528,,,,
68,06.11.22 02:50:00 AM,97.055,11.528,,,,
69,06.11.22 03:00:00 AM,97.044,11.528,,,,
70,06.11.22 03:10:00 AM,97.013,11.431,,,,
71,06.11.22 03:20:00 AM,97.002,11.431,,,,
72,06.11.22 03:30:00 AM,97.013,11.431,,,,
73,06.11.22 03:40:00 AM,97.002,11.431,,,,
74,06.11.22 03:50:00 AM,97.004,11.334,,,,
75,06.11.22 04:00:00 AM,96.982,11.334,,,,
76,06.11.22 04:10:00 AM,97.004,11.334,,,,
77,06.11.22 04:20:00 AM,97.015,11.334,,,,
78,06.11.22 04:30:00 AM,97.004,11.334,,,,
79,06.11.22 04:40:00 AM,97.004,11.334,,,,
80,06.11.22 04:50:00 AM,97.015,11.334,,,,
81,06.11.22 05:00:00 AM,97.026,11.334,,,,
82,06.11.22 05:10:00 AM,97.015,11.334,,,,
83,06.11.22 05:20:00 AM,97.004,11.334,,,,
84,06.11.22 05:30:00 AM,97.015,11.334,,,,
85,06.11.22 05:40:00 AM,97.017,11.236,,,,
86,06.11.22 05:50:00 AM,97.006,11.236,,,,
87,06.11.22 06:00:00 AM,97.006,11.236,,,,
88,06.11.22 06:10:00 AM,96.995,11.236,,,,
89,06.11.22 06:20:00 AM,96.984,11.236,,,,
90,06.11.22 06:30:00 AM,96.984,11.236,,,,
91,06.11.22 06:40:00 AM,97.004,11.334,,,,
92,06.11.22 06:50:00 AM,97.004,11.334,,,,
93,06.11.22 07:00:00 AM,96.993,11.334,,,,
94,06.11.22 07:10:00 AM,96.993,11.334,,,,
95,06.11.22 07:20:00 AM,96.982,11.334,,,,
96,06.11.22 07:30:00 AM,96.982,11.334,,,,
97,06.11.22 07:40:00 AM,96.980,11.431,,,,
98,06.11.22 07:50:00 AM,96.970,11.431,,,,
99,06.11.22 08:00:00 AM,97.002,11.431,,,,
100,06.11.22 08:10:00 AM,96.991,11.431,,,,
101,06.11.22 08:20:00 AM,96.989,11.528,,,,
102,06.11.22 08:30:00 AM,97.000,11.528,,,,
103,06.11.22 08:40:00 AM,96.979,11.528,,,,
104,06.11.22 08:50:00 AM,96.998,11.625,,,,
105,06.11.22 09:00:00 AM,96.977,11.625,,,,
106,06.11.22 09:10:00 AM,96.975,11.722,,,,
107,06.11.22 09:20:00 AM,96.964,11.722,,,,
108,06.11.22 09:30:00 AM,96.973,11.819,,,,
109,06.11.22 09:40:00 AM,96.984,11.819,,,,
110,06.11.22 09:50:00 AM,97.004,11.916,,,,
111,06.11.22 10:00:00 AM,97.002,12.013,,,,
112,06.11.22 10:10:00 AM,96.991,12.013,,,,
113,06.11.22 10:20:00 AM,97.010,12.110,,,,
114,06.11.22 10:30:00 AM,97.009,12.207,,,,
115,06.11.22 10:40:00 AM,97.019,12.207,,,,
116,06.11.22 10:50:00 AM,97.028,12.304,,,,
117,06.11.22 11:00:00 AM,97.048,12.401,,,,
118,06.11.22 11:10:00 AM,97.035,12.497,,,,
119,06.11.22 11:20:00 AM,97.022,12.594,,,,
120,06.11.22 11:30:00 AM,96.998,12.690,,,,
121,06.11.22 11:40:00 AM,97.018,12.787,,,,
122,06.11.22 11:50:00 AM,97.005,12.883,,,,
123,06.11.22 12:00:00 PM,96.981,12.980,,,,
124,06.11.22 12:10:00 PM,96.970,12.980,,,,
125,06.11.22 12:20:00 PM,96.957,13.076,,,,
126,06.11.22 12:30:00 PM,96.966,13.173,,,,
127,06.11.22 12:40:00 PM,96.953,13.269,,,,
