		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
06/09/22	3:00 a	16.1	16.2	15.2	85	13.6	0.0	SE	0.00	2.7	SSE	16.1	16.2	16.2	758.1	0.00	0.0	0.093	0.000	15.0	66	8.7	14.4	12.37	1.2090	1402	1	100.0	60
06/09/22	4:00 a	18.8	18.9	16.1	73	13.9	0.4	SE	1.61	3.6	ESE	18.8	18.9	18.9	757.9	0.00	0.0	0.000	0.021	16.8	66	10.4	16.3	12.26	1.1996	1403	1	100.0	60
06/09/22	5:00 a	15.4	18.8	15.4	87	13.3	0.0	E	0.00	0.9	WNW	15.4	15.5	15.5	758.0	0.00	0.0	0.120	0.000	15.3	65	8.7	14.7	12.07	1.2076	1404	1	100.0	60
06/09/22	6:00 a	15.7	15.7	15.2	89	13.9	0.0	ESE	0.00	0.4	ESE	15.7	15.8	15.8	758.4	0.00	0.0	0.111	0.000	15.1	66	8.7	14.4	12.37	1.2092	1404	1	100.0	60
06/09/22	7:00 a	17.8	17.8	15.7	83	14.9	0.0	WNW	0.00	0.9	WNW	17.8	18.1	18.1	758.2	0.00	0.0	0.023	0.000	16.9	66	10.5	16.4	12.25	1.1996	1403	1	100.0	60
06/09/22	8:00 a	19.2	19.2	17.8	82	16.0	0.0	WNW	0.00	1.8	W	19.2	19.7	19.7	758.2	0.00	0.0	0.000	0.035	19.3	66	12.8	19.2	12.15	1.1874	1403	1	100.0	60
06/09/22	9:00 a	19.6	19.6	19.1	81	16.2	0.0	N	0.00	1.3	W	19.6	20.2	20.2	758.4	0.00	0.0	0.000	0.051	20.3	66	13.7	20.3	12.15	1.1824	1405	1	100.0	60
06/09/22	10:00 a	19.1	19.6	18.9	83	16.2	0.0	WNW	0.00	1.3	NNW	19.1	19.7	19.7	758.0	0.00	0.0	0.000	0.032	20.0	65	13.2	19.9	11.89	1.1835	1401	1	100.0	60
06/09/22	11:00 a	18.7	19.4	18.7	85	16.1	0.4	WNW	1.61	2.7	WNW	18.7	19.2	19.2	758.2	0.00	0.0	0.000	0.016	19.9	65	13.2	19.9	11.89	1.1842	1404	1	100.0	60
06/09/22	12:00 p	20.9	21.1	18.7	78	16.9	0.4	WNW	1.61	2.7	N	20.9	21.5	21.5	758.7	0.00	0.0	0.000	0.106	21.8	65	14.9	21.8	11.85	1.1754	1404	1	100.0	60
06/09/22	1:00 p	21.0	21.9	20.8	77	16.8	0.4	NW	1.61	2.2	N	21.0	21.6	21.6	758.8	0.00	0.0	0.000	0.111	23.2	65	16.3	23.7	11.85	1.1680	1404	1	100.0	60
06/09/22	2:00 p	19.6	21.0	19.2	81	16.2	0.4	N	1.61	3.1	N	19.6	20.2	20.2	758.9	0.00	0.0	0.000	0.051	21.5	65	14.6	21.4	11.85	1.1772	1404	1	100.0	60
06/09/22	3:00 p	18.8	19.6	18.8	87	16.6	0.0	NNW	0.00	1.3	NNE	18.8	19.3	19.3	758.7	0.00	0.0	0.000	0.019	19.9	64	12.9	19.8	11.69	1.1852	1402	1	100.0	60
06/09/22	4:00 p	18.5	19.1	18.5	86	16.1	0.0	WNW	0.00	1.3	W	18.5	18.9	18.9	759.0	0.51	0.0	0.000	0.007	19.5	65	12.7	19.4	11.91	1.1877	1402	1	100.0	60
06/09/22	5:00 p	18.6	19.2	18.2	87	16.4	0.0	N	0.00	1.8	NNW	18.6	19.2	19.2	758.8	0.25	0.0	0.000	0.012	19.9	65	13.2	19.9	11.89	1.1851	1403	1	100.0	60
06/09/22	6:00 p	20.2	20.2	18.4	82	17.0	0.0	W	0.00	0.9	W	20.2	20.9	20.9	758.6	0.25	0.0	0.000	0.076	20.2	66	13.6	20.2	12.15	1.1833	1403	1	100.0	60
06/09/22	7:00 p	19.4	21.0	19.4	85	16.8	0.0	WNW	0.00	1.3	WNW	19.4	20.1	20.1	758.8	0.25	0.0	0.000	0.044	20.1	64	13.1	20.0	11.69	1.1845	1404	1	100.0	60
06/09/22	8:00 p	17.4	19.4	17.4	90	15.8	0.0	WNW	0.00	0.4	WNW	17.4	17.9	17.9	759.1	0.00	0.0	0.037	0.000	17.7	64	10.8	17.2	11.77	1.1974	1403	1	100.0	60
06/09/22	9:00 p	14.8	17.4	14.8	92	13.5	0.0	SW	0.00	0.4	W	14.8	14.9	14.9	759.4	0.25	0.0	0.148	0.000	14.7	65	8.2	14.1	12.11	1.2127	1403	1	100.0	60
06/09/22	10:00 p	13.7	14.8	13.7	94	12.8	0.0	SSW	0.00	0.4	SSW	13.7	13.9	13.9	759.7	0.00	0.0	0.192	0.000	13.2	66	7.0	12.6	12.44	1.2209	1404	1	100.0	60
06/09/22	11:00 p	13.7	13.8	13.7	95	12.9	0.0	E	0.00	0.9	ENE	13.7	13.9	13.9	759.8	0.00	0.0	0.192	0.000	13.1	66	6.9	12.5	12.44	1.2212	1403	1	100.0	60
06/10/22	12:00 a	13.7	13.8	13.7	96	13.1	0.0	SSE	0.00	0.9	SSE	13.7	13.9	13.9	759.7	0.00	0.0	0.192	0.000	13.1	66	6.9	12.5	12.44	1.2211	1403	1	100.0	60
06/10/22	1:00 a	12.9	13.7	12.9	95	12.1	0.0	S	0.00	0.9	SSW	12.9	13.1	13.1	759.8	0.00	0.0	0.227	0.000	12.3	66	6.1	11.7	12.43	1.2255	1403	1	100.0	60
06/10/22	2:00 a	12.4	12.9	12.3	96	11.8	0.0	S	0.00	0.4	S	12.4	12.6	12.6	759.9	0.00	0.0	0.248	0.000	11.6	66	5.4	11.1	12.41	1.2293	1403	1	100.0	60
06/10/22	3:00 a	11.9	12.4	11.9	96	11.3	0.0	S	0.00	0.9	S	11.9	12.2	12.2	760.2	0.00	0.0	0.266	0.000	11.2	66	5.0	10.7	12.39	1.2317	1402	1	100.0	60
06/10/22	4:00 a	11.9	12.0	11.8	96	11.3	0.0	S	0.00	0.9	SSE	11.9	12.2	12.2	760.1	0.00	0.0	0.266	0.000	10.9	67	5.1	10.6	12.62	1.2326	1403	1	100.0	60
06/10/22	5:00 a	11.6	12.1	11.6	96	10.9	0.0	ESE	0.00	0.9	SE	11.6	11.8	11.8	760.5	0.25	0.0	0.282	0.000	10.8	66	4.7	10.4	12.38	1.2343	1403	1	100.0	60
06/10/22	6:00 a	11.8	11.8	11.5	97	11.3	0.0	SE	0.00	0.4	ESE	11.8	12.0	12.0	760.7	0.00	0.0	0.273	0.000	10.8	67	4.9	10.4	12.61	1.2342	1399	1	100.0	60
06/10/22	7:00 a	13.1	13.1	11.8	98	12.7	0.0	SE	0.00	0.9	SE	13.1	13.3	13.3	760.8	0.00	0.0	0.220	0.000	11.7	67	5.8	11.3	12.67	1.2297	1405	1	100.0	60
06/10/22	8:00 a	16.3	16.3	13.1	97	15.8	0.0	SE	0.00	0.9	SE	16.3	16.8	16.8	760.9	0.00	0.0	0.086	0.000	14.6	69	9.0	14.1	13.05	1.2148	1403	1	100.0	60
06/10/22	9:00 a	20.4	20.4	16.3	82	17.2	0.0	SSE	0.00	1.8	NNW	20.4	21.2	21.2	761.1	0.00	0.0	0.000	0.086	18.7	70	13.1	18.6	13.32	1.1938	1404	1	100.0	60
06/10/22	10:00 a	22.6	22.6	20.4	63	15.2	0.4	SE	1.61	2.2	SSE	22.6	22.8	22.8	761.4	0.00	0.0	0.000	0.178	22.7	69	16.7	23.1	12.79	1.1737	1405	1	100.0	60
06/10/22	11:00 a	24.4	24.4	22.6	60	16.1	0.4	WNW	1.61	2.7	W	24.4	24.7	24.7	761.8	0.00	0.0	0.000	0.252	26.8	67	20.1	28.3	12.15	1.1529	1404	1	100.0	60
06/10/22	12:00 p	24.9	24.9	23.9	54	15.0	0.9	W	3.22	3.1	SSW	24.9	25.0	25.0	761.7	0.00	0.0	0.000	0.275	27.7	67	21.0	29.8	12.11	1.1476	1403	1	100.0	60
06/10/22	1:00 p	25.3	25.9	24.9	54	15.3	0.9	W	3.22	3.1	SSW	25.3	25.4	25.4	762.1	0.00	0.0	0.000	0.289	28.9	65	21.7	31.8	11.67	1.1424	1403	1	100.0	60
06/10/22	2:00 p	24.4	26.1	23.8	60	16.2	0.4	WNW	1.61	2.2	NW	24.4	24.7	24.7	761.9	0.00	0.0	0.000	0.255	27.9	64	20.4	29.7	11.51	1.1483	1405	1	100.0	60
06/10/22	3:00 p	23.3	24.5	22.8	60	15.1	0.9	SE	3.22	3.6	NNE	23.3	23.6	23.6	761.9	0.00	0.0	0.000	0.208	25.7	64	18.3	26.4	11.59	1.1602	1405	1	100.0	60
06/10/22	4:00 p	22.8	24.6	22.8	69	16.8	0.0	WNW	0.00	1.3	W	22.8	23.2	23.2	761.9	0.00	0.0	0.000	0.185	25.5	63	17.9	26.1	11.39	1.1615	1404	1	100.0	60
06/10/22	5:00 p	22.3	23.1	22.3	75	17.6	0.0	SW	0.00	2.2	SE	22.3	22.9	22.9	761.9	0.00	0.0	0.000	0.164	23.8	64	16.6	24.2	11.65	1.1701	1404	1	100.0	60
06/10/22	6:00 p	20.2	22.3	20.2	81	16.8	0.4	N	1.61	1.8	NNW	20.2	20.9	20.9	762.1	0.00	0.0	0.000	0.076	21.3	64	14.2	21.2	11.65	1.1837	1404	1	100.0	60
06/10/22	7:00 p	19.4	20.2	19.3	88	17.3	0.0	N	0.00	0.9	N	19.4	20.2	20.2	762.7	0.00	0.0	0.000	0.044	19.7	65	12.9	19.6	11.90	1.1928	1404	1	100.0	60
06/10/22	8:00 p	18.4	19.4	18.4	89	16.6	0.0	---	0.00	0.0	---	18.4	19.1	19.1	763.0	0.00	0.0	0.000	0.005	18.7	65	12.0	18.4	11.94	1.1984	1404	1	100.0	60
06/10/22	9:00 p	16.7	18.4	16.7	91	15.2	0.0	---	0.00	0.0	---	16.7	17.0	17.0	763.2	0.00	0.0	0.069	0.000	16.7	65	10.1	16.2	12.01	1.2089	1400	1	100.0	60
06/10/22	10:00 p	15.2	16.7	15.2	92	13.9	0.0	E	0.00	0.9	NNE	15.2	15.4	15.4	763.3	0.00	0.0	0.130	0.000	15.1	66	8.8	14.5	12.37	1.2168	1404	1	100.0	60
06/10/22	11:00 p	13.9	15.2	13.9	92	12.6	0.4	E	1.61	0.9	E	13.9	14.0	14.0	763.0	0.00	0.0	0.185	0.000	13.6	66	7.3	12.9	12.42	1.2243	1402	1	100.0	60
06/11/22	12:00 a	13.1	13.9	13.1	93	11.9	0.0	ESE	0.00	0.9	ESE	13.1	13.2	13.2	763.1	0.00	0.0	0.220	0.000	12.5	66	6.3	11.9	12.44	1.2297	1402	1	100.0	60
06/11/22	1:00 a	12.6	13.1	12.6	94	11.7	0.0	ESE	0.00	0.9	ESE	12.6	12.8	12.8	762.9	0.00	0.0	0.238	0.000	11.8	67	5.9	11.4	12.68	1.2327	1403	1	100.0	60
06/11/22	2:00 a	12.5	12.6	12.3	93	11.4	0.0	ESE	0.00	0.9	ESE	12.5	12.6	12.6	762.9	0.00	0.0	0.243	0.000	11.5	67	5.6	11.1	12.66	1.2343	1402	1	100.0	60
06/11/22	3:00 a	12.3	12.6	12.3	93	11.2	0.0	ESE	0.00	0.4	ESE	12.3	12.4	12.4	762.6	0.00	0.0	0.252	0.000	11.4	67	5.5	10.9	12.65	1.2344	1401	1	100.0	60
06/11/22	4:00 a	12.3	12.3	12.2	93	11.2	0.4	ESE	1.61	0.9	ESE	12.3	12.4	12.4	762.5	0.00	0.0	0.252	0.000	11.2	67	5.3	10.8	12.64	1.2351	1403	1	100.0	60
06/11/22	5:00 a	12.4	12.4	12.3	93	11.3	0.0	ESE	0.00	0.9	ESE	12.4	12.6	12.6	762.6	0.00	0.0	0.245	0.000	11.2	67	5.3	10.8	12.64	1.2353	1403	1	100.0	60
06/11/22	6:00 a	12.9	12.9	12.4	93	11.8	0.0	ESE	0.00	0.9	ESE	12.9	13.0	13.0	762.7	0.25	0.0	0.227	0.000	11.6	67	5.7	11.2	12.67	1.2335	1402	1	100.0	60
06/11/22	7:00 a	14.3	14.3	12.9	91	12.9	0.4	ESE	1.61	0.9	ESE	14.3	14.4	14.4	762.5	0.00	0.0	0.167	0.000	12.7	68	7.0	12.2	12.95	1.2273	1402	1	100.0	60
06/11/22	8:00 a	17.8	17.8	14.3	84	15.1	0.4	ESE	1.61	1.3	E	17.8	18.1	18.1	762.5	0.00	0.0	0.021	0.000	15.3	70	9.9	14.9	13.27	1.2136	1404	1	100.0	60
06/11/22	9:00 a	21.6	21.6	17.8	71	16.1	0.0	ESE	0.00	0.9	ESE	21.6	21.9	21.9	762.3	0.00	0.0	0.000	0.137	19.8	70	14.2	19.9	13.24	1.1898	1405	1	100.0	60
06/11/22	10:00 a	25.6	25.6	21.6	52	15.0	0.0	ESE	0.00	1.8	NE	25.6	25.6	25.6	762.7	0.00	0.0	0.000	0.301	24.8	69	18.7	25.6	12.69	1.1645	1403	1	100.0	60
06/11/22	11:00 a	25.9	26.2	25.4	49	14.4	0.9	SE	3.22	4.0	SE	25.9	25.9	25.9	762.8	0.00	0.0	0.000	0.317	27.6	67	20.9	29.7	12.12	1.1500	1404	1	100.0	60
