		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
22.02.22	11:00	10.6	10.6	10.2	58	2.7	1.3	SSE	4.83	5.4	SSE	10.5	10.1	9.9	1012.6	0.00	0.0	0.322	0.000	10.2	76	6.2	10.1	15.06	 .0770	575	1	42.0	60
22.02.22	12:00	11.8	11.8	10.6	56	3.3	0.4	SE	1.61	3.6	W	11.8	11.1	11.1	1012.6	0.00	0.0	0.271	0.000	11.8	78	8.1	11.6	15.75	 .0765	1405	1	100.0	60
22.02.22	13:00	12.4	13.1	11.8	54	3.4	0.9	S	3.22	4.0	WNW	12.4	11.6	11.6	1012.3	0.00	0.0	0.245	0.000	13.6	77	9.7	13.3	15.42	 .0759	1398	1	100.0	60
22.02.22	14:00	13.9	13.9	12.3	52	4.2	0.9	S	3.22	3.1	S	13.9	12.9	12.9	1011.8	0.00	0.0	0.183	0.000	14.2	78	10.4	14.0	15.70	 .0757	1405	1	100.0	60
22.02.22	15:00	14.9	15.2	13.9	52	5.2	0.9	W	3.22	3.6	W	14.9	13.9	13.9	1011.5	0.00	0.0	0.141	0.000	15.9	78	12.1	15.7	15.66	 .0751	1404	1	100.0	60
22.02.22	16:00	13.1	14.9	13.1	64	6.4	0.9	NW	3.22	4.0	NW	13.1	12.4	12.4	1012.4	0.00	0.0	0.220	0.000	14.7	76	10.5	14.4	15.01	 .0756	1401	1	100.0	60
22.02.22	17:00	12.6	13.1	12.3	67	6.6	0.4	W	1.61	3.6	NW	12.6	12.1	12.1	1012.4	0.00	0.0	0.238	0.000	12.8	78	9.0	12.6	15.75	 .0762	1404	1	100.0	60
22.02.22	18:00	12.1	12.6	12.1	70	6.7	0.0	SSE	0.00	2.2	SSE	12.1	11.6	11.6	1012.5	0.00	0.0	0.262	0.000	11.9	77	8.0	11.7	15.45	 .0765	1404	1	100.0	60
22.02.22	19:00	8.0	12.1	8.0	81	4.9	0.0	N	0.00	1.3	NNW	8.0	7.9	7.9	1013.1	0.00	0.0	0.431	0.000	8.1	77	4.3	7.9	15.38	 .0777	1403	1	100.0	60
22.02.22	20:00	7.3	8.0	7.3	86	5.1	0.0	NE	0.00	0.4	NNE	7.3	7.3	7.3	1012.9	0.00	0.0	0.458	0.000	6.9	78	3.4	6.8	15.68	 .0781	1405	1	100.0	60
22.02.22	21:00	6.6	7.4	6.6	86	4.4	0.0	E	0.00	1.3	E	6.6	6.5	6.5	1013.6	0.00	0.0	0.491	0.000	5.9	78	2.3	5.7	15.79	 .0785	1405	1	100.0	60
22.02.22	22:00	6.9	7.0	6.1	89	5.3	0.0	E	0.00	0.4	E	6.9	7.0	7.0	1013.9	0.00	0.0	0.475	0.000	6.2	79	2.8	6.0	16.13	 .0784	1402	1	100.0	60
22.02.22	23:00	6.9	7.2	6.9	89	5.3	0.0	E	0.00	0.4	E	6.9	7.0	7.0	1014.0	0.00	0.0	0.475	0.000	6.3	79	2.9	6.1	16.12	 .0784	1403	1	100.0	60
